Cycle,RPM,Ignition_Target,Peak_P_MPa,Peak_T_K,Status,Diagnosis,Theta_Drift_Deg,Crank_Stability_Pct
540,3710.3,-11.7,1.36,521,MISFIRE,No pressure rise post-spark,8e-05,99.97
541,4802.9,-12.7,1.31,518,MISFIRE,No pressure rise post-spark,5e-05,99.97
542,2745.6,-11.3,1.32,521,MISFIRE,No pressure rise post-spark,0.00012,99.97
543,2515.8,-12.2,1.26,518,MISFIRE,No pressure rise post-spark,0.00013,99.97
544,5937.5,-12.9,1.21,518,MISFIRE,No pressure rise post-spark,4e-05,99.97
545,6704.9,-9.1,1.19,527,MISFIRE,No pressure rise post-spark,3e-05,99.97
546,2782.5,-9.8,1.38,527,MISFIRE,No pressure rise post-spark,0.00012,99.97
547,4300.9,-14.6,1.25,511,MISFIRE,No pressure rise post-spark,6e-05,99.97
548,5123.1,-11.0,1.33,521,MISFIRE,No pressure rise post-spark,5e-05,99.97
549,5177.6,-14.1,1.22,511,MISFIRE,No pressure rise post-spark,4e-05,99.97
550,6788.5,-16.9,0.96,503,MISFIRE,No pressure rise post-spark,3e-05,99.97
551,6708.5,-13.2,1.07,515,MISFIRE,No pressure rise post-spark,3e-05,99.97
552,3976.1,-11.2,1.37,521,MISFIRE,No pressure rise post-spark,7e-05,99.97
553,6861.4,-14.7,1.01,511,MISFIRE,No pressure rise post-spark,3e-05,99.97
554,3099.5,-15.7,1.19,507,MISFIRE,No pressure rise post-spark,0.0001,99.97
555,7280.2,-9.3,1.1,527,MISFIRE,No pressure rise post-spark,2e-05,99.97
556,7224.5,-8.6,1.12,530,MISFIRE,No pressure rise post-spark,2e-05,99.97
557,3983.7,-9.6,1.43,527,MISFIRE,No pressure rise post-spark,7e-05,99.97
558,4280.9,-11.4,1.36,521,MISFIRE,No pressure rise post-spark,6e-05,99.97
559,6871.2,-10.9,1.13,524,MISFIRE,No pressure rise post-spark,3e-05,99.97
560,1581.6,-8.4,1.26,530,MISFIRE,No pressure rise post-spark,0.00026,99.97
561,2322.8,-9.2,1.34,527,MISFIRE,No pressure rise post-spark,0.00015,99.97
562,5903.7,-9.7,1.31,527,MISFIRE,No pressure rise post-spark,4e-05,99.97
563,2590.0,-8.2,1.4,530,MISFIRE,No pressure rise post-spark,0.00013,99.97
564,3957.9,-15.0,1.22,507,MISFIRE,No pressure rise post-spark,7e-05,99.97
565,3008.6,-11.3,1.33,521,MISFIRE,No pressure rise post-spark,0.0001,99.97
566,2958.8,-12.6,1.3,518,MISFIRE,No pressure rise post-spark,0.00011,99.97
567,3724.5,-8.3,1.46,530,MISFIRE,No pressure rise post-spark,8e-05,99.97
568,4445.0,-12.6,1.32,518,MISFIRE,No pressure rise post-spark,6e-05,99.97
569,7062.5,-8.7,1.14,530,MISFIRE,No pressure rise post-spark,3e-05,99.97
570,3440.7,-16.4,1.17,503,MISFIRE,No pressure rise post-spark,8e-05,99.97
571,1749.8,-13.1,1.14,515,MISFIRE,No pressure rise post-spark,0.00021,99.97
572,4283.6,-17.1,1.14,499,MISFIRE,No pressure rise post-spark,6e-05,99.97
573,7238.7,-15.9,0.93,507,MISFIRE,No pressure rise post-spark,2e-05,99.97
574,3314.2,-14.3,1.24,511,MISFIRE,No pressure rise post-spark,9e-05,99.97
575,6228.8,-8.7,1.29,530,MISFIRE,No pressure rise post-spark,3e-05,99.97
